Year,Title,Instructor,Credits,Actual,Capacity
17FA,Pending Audition - Voice,Kim JungWoo,  1-3,0,50
17FA,Concert Attendance,Southard Robert G.,0,76,100
17FA,Introduction to Music,Staff,4,0,0
17FA,Introduction to Music,Southard Sarah,4,28,35
17FA,Introduction to Music,Staff,4,0,0
17FA,Introduction to Music,Craioveanu Mihai D.,4,15,35
17FA,Introduction to Music,Payne Alyson M.,4,19,35
17FA,Perspectives in Music,Hornbach Christina M.,4,11,10
17FA,World Music,Sooy Julie A.,4,26,35
17FA,World Music,Fashun Christopher H.,4,34,35
17FA,Survey of American Music,Coyle Brian R.,4,35,35
17FA,Survey of American Music,Talaga Stephen C.,4,35,35
17FA,Theory I,Hodson Robert D.,4,15,20
17FA,Theory I,Hodson Robert D.,4,19,20
17FA,Aural Skills I,Wolfe Jennifer A.,1,10,20
17FA,Aural Skills I,Wolfe Jennifer A.,1,16,16
17FA,Aural Skills I,Sooy Julie A.,1,9,20
17FA,Chapel Choir,Richmond Brad W.,1,11,25
17FA,Chapel Choir,Richmond Brad W.,0,30,25
17FA,College Chorus,Richmond Brad W.,1,19,50
17FA,College Chorus,Richmond Brad W.,0,15,50
17FA,Women's Chamber Choir,Wolfe Jennifer A.,1,16,30
17FA,Women's Chamber Choir,Wolfe Jennifer A.,0,11,30
17FA,Orchestra,Fashun Christopher H.,1,15,30
17FA,Orchestra,Fashun Christopher H.,0,41,30
17FA,Wind Ensemble,Southard Robert G.,1,17,30
17FA,Wind Ensemble,Southard Robert G.,0,22,30
17FA,Concert Band,Southard Robert G.,1,4,30
17FA,Concert Band,Southard Robert G.,0,10,30
17FA,Jazz Arts Collective,Coyle Brian R.,1,4,20
17FA,Jazz Arts Collective,Coyle Brian R.,0,6,20
17FA,Collegium Musicum - Vocal,DeBoer James R.,1,5,15
17FA,Collegium Musicum - Vocal,DeBoer James R.,0,8,15
17FA,Jazz Chamber Ensemble I,Coyle Brian R.,.5,1,4
17FA,Jazz Chamber Ensemble I,Coyle Brian R.,0,3,4
17FA,Jazz Chamber Ensemble II,Roberts Nathaniel J.,.5,0,4
17FA,Jazz Chamber Ensemble II,Roberts Nathaniel J.,0,4,4
17FA,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,3,4
17FA,Jazz Chamber Ensemble III,Talaga Stephen C.,0,5,4
17FA,Jazz Chamber Ensemble IV,Shoup Jeffrey A.,.5,3,4
17FA,Jazz Chamber Ensemble IV,Shoup Jeffrey A.,0,2,4
17FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,4,4
17FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,1,4
17FA,Jazz Education Ensemble,Coyle Brian R.,.5,3,5
17FA,Jazz Education Ensemble,Coyle Brian R.,0,2,5
17FA,Jazz Combo,Monaco Anthony G.,.5,2,12
17FA,Jazz Combo,Monaco Anthony G.,0,3,12
17FA,Flute Choir,Sooy Julie A.,.5,1,12
17FA,Flute Choir,Sooy Julie A.,0,5,12
17FA,Collaborative Voice,Dykstra Linda L.,.5,0,12
17FA,Collaborative Voice,Dykstra Linda L.,0,0,12
17FA,String Chamber Music,Craioveanu Mihai D.,.5,2,4
17FA,String Chamber Music,Craioveanu Mihai D.,0,2,4
17FA,Collaborative Piano,Le Andrew C.,.5,1,4
17FA,Collaborative Piano,Le Andrew C.,0,0,4
17FA,Brazilian Drumming,Fashun Christopher H.,.5,5,15
17FA,Brazilian Drumming,Fashun Christopher H.,0,9,15
17FA,12th Street Harmony,Richmond Brad W.,.5,0,12
17FA,12th Street Harmony,Richmond Brad W.,0,2,12
17FA,Luminescence,Richmond Brad W.,.5,2,12
17FA,Luminescence,Richmond Brad W.,0,6,12
17FA,Saxophone Quartet,Briggs John A.,.5,0,4
17FA,Saxophone Quartet,Briggs John A.,0,3,4
17FA,Woodwind Chamber Ensemble,Southard Sarah,.5,0,5
17FA,Woodwind Chamber Ensemble,Southard Sarah,0,5,5
17FA,Harp Ensemble,Waldvogel-Warren Martha,.5,1,5
17FA,Harp Ensemble,Waldvogel-Warren Martha,0,1,5
17FA,Brass Quintet,Graham Adam E.,.5,1,4
17FA,Brass Quintet,Graham Adam E.,0,4,4
17FA,Woodwind Chamber Ensemble,Southard Robert G.,.5,0,5
17FA,Woodwind Chamber Ensemble,Southard Robert G.,0,5,5
17FA,Percussion Ensemble,Secor Gregory,.5,0,5
17FA,Percussion Ensemble,Secor Gregory,0,0,5
17FA,Folk Music Ensemble I,Roberts Nathaniel J.,.5,2,10
17FA,Folk Music Ensemble I,Roberts Nathaniel J.,0,5,10
17FA,Folk Music Ensemble II,Roberts Nathaniel J.,.5,2,10
17FA,Folk Music Ensemble II,Roberts Nathaniel J.,0,7,10
17FA,Guitar Ensemble,Martin David J.,.5,0,10
17FA,Guitar Ensemble,Martin David J.,0,3,10
17FA,Folk Music Ensemble III,Roberts Nathaniel J.,.5,2,10
17FA,Folk Music Ensemble III,Roberts Nathaniel J.,0,5,10
17FA,Drum Choir,Shoup Jeffrey A.,.5,1,10
17FA,Drum Choir,Shoup Jeffrey A.,0,0,10
17FA,Flute,Southard Robert G.,1,5,12
17FA,Flute,Southard Robert G.,2,2,10
17FA,Flute,Southard Robert G.,3,1,15
17FA,Flute,Sooy Julie A.,1,2,12
17FA,Oboe,Southard Sarah,1,3,12
17FA,Oboe,Southard Sarah,2,0,10
17FA,Oboe,Southard Sarah,3,0,5
17FA,Clarinet,Schekman Joel W.,1,2,12
17FA,Clarinet,Schekman Joel W.,2,0,10
17FA,Clarinet,Schekman Joel W.,3,0,4
17FA,Saxophone,Briggs John A.,1,2,12
17FA,Saxophone,Briggs John A.,2,1,10
17FA,Saxophone,Briggs John A.,3,0,5
17FA,Jazz Saxophone,Lockwood Thomas E.,1,0,12
17FA,Jazz Saxophone,Lockwood Thomas E.,2,1,10
17FA,Jazz Saxophone,Lockwood Thomas E.,3,1,5
17FA,Bassoon,Beaulieu Genevieve L.,1,0,12
17FA,Bassoon,Beaulieu Genevieve L.,2,0,10
17FA,Bassoon,Beaulieu Genevieve L.,3,1,5
17FA,Horn,French Keith A.,1,2,12
17FA,Horn,French Keith A.,2,1,10
17FA,Horn,French Keith A.,3,0,5
17FA,Trumpet,Ruffer Jonathan D.,1,6,12
17FA,Trumpet,Ruffer Jonathan D.,2,2,10
17FA,Trumpet,Ruffer Jonathan D.,3,0,5
17FA,Jazz Trumpet,Coyle Brian R.,1,1,12
17FA,Jazz Trumpet,Coyle Brian R.,2,0,10
17FA,Jazz Trumpet,Coyle Brian R.,3,0,6
17FA,Trombone/Euphonium,Graham Adam E.,1,3,12
17FA,Trombone/Euphonium,Graham Adam E.,2,0,10
17FA,Trombone/Euphonium,Graham Adam E.,3,1,5
17FA,Jazz Trombone,Graham Adam E.,1,0,12
17FA,Jazz Trombone,Graham Adam E.,2,0,10
17FA,Jazz Trombone,Graham Adam E.,3,0,5
17FA,Tuba,Graham Adam E.,1,1,12
17FA,Tuba,Graham Adam E.,2,0,10
17FA,Tuba,Graham Adam E.,3,0,5
17FA,Percussion,Secor Gregory,1,0,12
17FA,Percussion,Secor Gregory,2,0,10
17FA,Percussion,Secor Gregory,3,0,5
17FA,Drumset,Shoup Jeffrey A.,1,5,20
17FA,Drumset,Shoup Jeffrey A.,2,0,10
17FA,Drumset,Shoup Jeffrey A.,3,0,5
17FA,Harp,Waldvogel-Warren Martha,1,3,12
17FA,Harp,Waldvogel-Warren Martha,2,0,10
17FA,Harp,Waldvogel-Warren Martha,3,0,5
17FA,Violin,Craioveanu Mihai D.,1,8,12
17FA,Violin,Craioveanu Mihai D.,2,1,10
17FA,Violin,Craioveanu Mihai D.,3,3,5
17FA,Viola,Corbato Barbara,1,4,12
17FA,Viola,Corbato Barbara,2,0,10
17FA,Viola,Corbato Barbara,3,0,5
17FA,Cello,Eppinga Alicia A.,1,11,12
17FA,Cello,Eppinga Alicia A.,2,1,10
17FA,Cello,Eppinga Alicia A.,3,1,5
17FA,String Bass,Straus Melissa M.,1,3,12
17FA,String Bass,Straus Melissa M.,2,0,10
17FA,String Bass,Straus Melissa M.,3,0,5
17FA,Contemporary and Jazz Bass,Hoats Charles D.,1,1,12
17FA,Contemporary and Jazz Bass,Hoats Charles D.,2,0,10
17FA,Contemporary and Jazz Bass,Hoats Charles D.,3,0,5
17FA,Organ,Lewis Huw R.,1,5,12
17FA,Organ,Lewis Huw R.,2,0,10
17FA,Organ,Lewis Huw R.,3,3,5
17FA,Jazz Organ,Monaco Anthony G.,1,2,12
17FA,Jazz Organ,Monaco Anthony G.,2,0,10
17FA,Jazz Organ,Monaco Anthony G.,3,0,5
17FA,Piano,Le Andrew C.,1,4,10
17FA,Piano,Le Andrew C.,2,2,10
17FA,Piano,Le Andrew C.,3,5,10
17FA,Piano,Staff,1,0,0
17FA,Piano,Staff,2,0,0
17FA,Piano,Staff,3,0,0
17FA,Piano,Kolean Lora L.,1,8,10
17FA,Piano,Kolean Lora L.,2,0,10
17FA,Piano,Kolean Lora L.,3,2,10
17FA,Contemporary and Jazz Piano,Talaga Stephen C.,1,6,10
17FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,0,10
17FA,Contemporary and Jazz Piano,Talaga Stephen C.,3,2,10
17FA,Guitar,Martin David J.,1,20,25
17FA,Guitar,Martin David J.,2,0,5
17FA,Guitar,Martin David J.,3,4,5
17FA,Banjo,Roberts Nathaniel J.,1,4,15
17FA,Banjo,Roberts Nathaniel J.,2,0,15
17FA,Banjo,Roberts Nathaniel J.,3,4,15
17FA,Contemporary and Jazz Guitar,Hyde Michael R.,1,10,30
17FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,0,15
17FA,Contemporary and Jazz Guitar,Hyde Michael R.,3,0,15
17FA,Mandolin,Roberts Nathaniel J.,1,3,15
17FA,Mandolin,Roberts Nathaniel J.,2,0,15
17FA,Mandolin,Roberts Nathaniel J.,3,1,5
17FA,Voice,Kim JungWoo,1,10,20
17FA,Voice,Kim JungWoo,2,9,10
17FA,Voice,Kim JungWoo,3,2,20
17FA,Voice,Dykstra Linda L.,1,5,20
17FA,Voice,Dykstra Linda L.,2,2,10
17FA,Voice,Dykstra Linda L.,3,5,20
17FA,Voice,Richmond Brad W.,1,3,20
17FA,Voice,Richmond Brad W.,2,0,10
17FA,Voice,Richmond Brad W.,3,0,10
17FA,Voice,Pilon Sherri L.,1,13,20
17FA,Voice,Penning Koperski Diane,1,10,20
17FA,Contemporary and Jazz Voice,Hyde Edith E.,1,6,12
17FA,Contemporary and Jazz Voice,Hyde Edith E.,2,0,5
17FA,Contemporary and Jazz Voice,Hyde Edith E.,3,1,5
17FA,Classical Guitar Class Begin,Martin David J.,2,5,14
17FA,Folk Style Guitar Methods,Martin David J.,2,5,14
17FA,Applied Composition,Talaga Stephen C.,2,1,10
17FA,Applied Composition,Talaga Stephen C.,3,2,10
17FA,Applied Songwriting Compositn,Roberts Nathaniel J.,2,2,10
17FA,Applied Songwriting Compositn,Roberts Nathaniel J.,3,0,10
17FA,Applied Computer Music,Munch Jean-Yves,2,0,6
17FA,Applied Computer Music,Elliot Drew I.,3,3,6
17FA,Applied Computer Music,Elliot Drew I.,2,1,6
17FA,Applied Computer Music,Munch Jean-Yves,3,1,6
17FA,Piano Class Beginning,Kolean Lora L.,2,10,14
17FA,Piano Class Beginning,Kolean Lora L.,2,12,14
17FA,Piano Class Beginning,Kolean Lora L.,2,14,14
17FA,Piano Class Beginning,Kolean Lora L.,2,14,14
17FA,Voice Class Beginning,Pilon Sherri L.,2,6,12
17FA,Keyboard Skills IA,Strouf Linda K.,1,9,14
17FA,Keyboard Skills IA,Strouf Linda K.,1,11,14
17FA,Eurhythmics I,Dittus Jeremy K.,.5,14,20
17FA,Theory III,Hodson Robert D.,4,19,16
17FA,Aural Skills III,Wolfe Jennifer A.,1,14,16
17FA,Introduction to Composition,Staff,2,0,0
17FA,Keyboard Skills - Intermediate,Strouf Linda K.,1,9,14
17FA,Elementary Music Methods,Hornbach Christina M.,4,6,15
17FA,Hist & Literature of the Opera,Payne Alyson M.,4,9,20
17FA,Organ Literature,Lewis Huw R.,2,1,10
17FA,Music in the Church,Staff,3,0,0
17FA,Piano Pedagogy I,Kolean Lora L.,1,1,10
17FA,Violin/Viola Pedagogy Lit,Craioveanu Mihai D.,3,1,5
17FA,Orchestration,Southard Robert G.,3,9,15
17FA,Conducting Techniques,Richmond Brad W.,2,11,15
17FA,Percussion Methods,Secor Gregory,1,5,10
17FA,Diction for Singers III,Kim JungWoo,1,2,10
17FA,Jazz Theory & Improvisation I,Talaga Stephen C.,3,2,15
17FA,Jazz Composition & Arranging I,Talaga Stephen C.,3,0,15
17FA,Recording Arts & Techniques,Elliot Drew I.,2,9,10
17FA,Sec Instrumental Meth & Admin,Fashun Christopher H.,4,5,10
17FA,Junior Recital,Southard Robert G.,0,1,10
17FA,Recording Arts II,Elliot Drew I.,4,6,10
17FA,Keyboard Skills for Piano,Strouf Linda K.,1,6,14
17FA,Keyboard Skills for Organ,Lewis Huw R.,1,1,10
17FA,Independent Study,Munch Jean-Yves,  1-4,2,5
17FA,Independent Study,Elliot Drew I.,  1-4,0,5
17FA,Independent Study,Richmond Brad W.,  1-4,1,5
17FA,Seminar in Music,Payne Alyson M.,2,10,14
17FA,Senior Recital,Southard Robert G.,0,0,10
17FA,Jazz Styles & Analysis,Staff,2,0,0
16FA,Pending Audition - Piano,Le Andrew C.,  2/3,0,50
16FA,Pending Audition - Voice,Dykstra Linda L.,  2/3,0,50
16FA,Concert Attendance,Southard Robert G.,0,54,100
16FA,Introduction to Music,Kim JungWoo,4,35,35
16FA,Introduction to Music,Lewis Huw R.,4,34,35
16FA,Introduction to Music,Southard Sarah,4,33,35
16FA,Introduction to Music,Craioveanu Mihai D.,4,26,35
16FA,Perspectives in Music,Hornbach Christina M.,4,7,10
16FA,World Music,Sooy Julie A.,4,28,35
16FA,World Music,Fashun Christopher H.,4,34,35
16FA,Survey of American Music,Coyle Brian R.,4,36,35
16FA,Survey of American Music,Talaga Stephen C.,4,34,35
16FA,Theory I,Hodson Robert D.,4,12,20
16FA,Theory I,Hodson Robert D.,4,19,20
16FA,Aural Skills I,Wolfe Jennifer A.,1,14,20
16FA,Aural Skills I,Wolfe Jennifer A.,1,14,20
16FA,Chapel Choir,Richmond Brad W.,1,11,25
16FA,Chapel Choir,Richmond Brad W.,0,24,25
16FA,College Chorus,Richmond Brad W.,1,22,50
16FA,College Chorus,Richmond Brad W.,0,18,50
16FA,Women's Chamber Choir,Wolfe Jennifer A.,1,9,30
16FA,Women's Chamber Choir,Wolfe Jennifer A.,0,12,30
16FA,Orchestra,Fashun Christopher H.,1,15,30
16FA,Orchestra,Fashun Christopher H.,0,37,30
16FA,Wind Ensemble,Southard Robert G.,1,13,30
16FA,Wind Ensemble,Southard Robert G.,0,28,30
16FA,Concert Band,Southard Robert G.,1,12,30
16FA,Concert Band,Southard Robert G.,0,18,30
16FA,Jazz Arts Collective,Coyle Brian R.,1,4,20
16FA,Jazz Arts Collective,Coyle Brian R.,0,8,15
16FA,Collegium Musicum - Vocal,Staff,1,0,0
16FA,Collegium Musicum - Vocal,Staff,0,0,0
16FA,Jazz Chamber Ensemble I,Coyle Brian R.,.5,2,4
16FA,Jazz Chamber Ensemble I,Coyle Brian R.,0,4,4
16FA,Jazz Chamber Ensemble II,Hodson Robert D.,.5,1,4
16FA,Jazz Chamber Ensemble II,Hodson Robert D.,0,2,4
16FA,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,1,4
16FA,Jazz Chamber Ensemble III,Talaga Stephen C.,0,2,4
16FA,Jazz Chamber Ensemble IV,Hall Keith A.,.5,1,4
16FA,Jazz Chamber Ensemble IV,Hall Keith A.,0,3,4
16FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,1,4
16FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,2,4
16FA,Jazz Education Ensemble,Coyle Brian R.,.5,0,5
16FA,Jazz Education Ensemble,Coyle Brian R.,0,3,5
16FA,Flute Choir,Sooy Julie A.,.5,3,12
16FA,Flute Choir,Sooy Julie A.,0,2,12
16FA,Jazz Combo,Monaco Anthony G.,.5,1,12
16FA,Jazz Combo,Monaco Anthony G.,0,2,12
16FA,Collaborative Voice,Dykstra Linda L.,.5,0,12
16FA,Collaborative Voice,Dykstra Linda L.,0,0,12
16FA,String Chamber Music,Craioveanu Mihai D.,.5,1,4
16FA,String Chamber Music,Craioveanu Mihai D.,0,4,4
16FA,Collaborative Piano,Le Andrew C.,.5,2,4
16FA,Collaborative Piano,Le Andrew C.,0,0,4
16FA,Brazilian Drumming,Fashun Christopher H.,.5,2,15
16FA,Brazilian Drumming,Fashun Christopher H.,0,11,15
16FA,12th Street Harmony,Richmond Brad W.,.5,0,12
16FA,12th Street Harmony,Richmond Brad W.,0,1,12
16FA,Luminescence,Richmond Brad W.,.5,2,12
16FA,Luminescence,Richmond Brad W.,0,8,12
16FA,Saxophone Quartet,Briggs John A.,.5,0,4
16FA,Saxophone Quartet,Briggs John A.,0,4,4
16FA,Woodwind Quintet,Southard Sarah,.5,0,5
16FA,Woodwind Quintet,Southard Sarah,0,6,5
16FA,Harp Ensemble,Waldvogel-Warren Martha,.5,0,5
16FA,Harp Ensemble,Waldvogel-Warren Martha,0,0,5
16FA,Woodwind Chamber Ensemble,Southard Sarah,.5,0,4
16FA,Woodwind Chamber Ensemble,Southard Sarah,0,4,4
16FA,Woodwind Quintet,Southard Robert G.,.5,0,5
16FA,Woodwind Quintet,Southard Robert G.,0,0,5
16FA,Percussion Ensemble,Secor Gregory,.5,0,5
16FA,Percussion Ensemble,Secor Gregory,0,0,5
16FA,Folk Music Ensemble I,Roberts Nathaniel J.,.5,1,10
16FA,Folk Music Ensemble I,Roberts Nathaniel J.,0,5,10
16FA,Folk Music Ensemble II,Roberts Nathaniel J.,.5,3,10
16FA,Folk Music Ensemble II,Roberts Nathaniel J.,0,1,10
16FA,Guitar Ensemble,Martin David J.,.5,1,10
16FA,Guitar Ensemble,Martin David J.,0,1,10
16FA,Folk Music Ensemble III,Roberts Nathaniel J.,.5,1,10
16FA,Folk Music Ensemble III,Roberts Nathaniel J.,0,5,10
16FA,Drum Choir,Hall Keith A.,.5,2,10
16FA,Drum Choir,Hall Keith A.,0,2,10
16FA,Flute,Southard Robert G.,2,3,12
16FA,Flute,Southard Robert G.,2,2,10
16FA,Flute,Southard Robert G.,3,3,15
16FA,Flute,Sooy Julie A.,2,2,12
16FA,Oboe,Southard Sarah,2,3,12
16FA,Oboe,Southard Sarah,2,1,10
16FA,Oboe,Southard Sarah,3,0,5
16FA,Clarinet,Bratton Suzanna E.,2,5,12
16FA,Clarinet,Bratton Suzanna E.,2,0,10
16FA,Clarinet,Bratton Suzanna E.,3,1,4
16FA,Saxophone,Briggs John A.,2,5,12
16FA,Saxophone,Briggs John A.,2,2,10
16FA,Saxophone,Briggs John A.,3,0,5
16FA,Jazz Saxophone,Lockwood Thomas E.,2,1,12
16FA,Jazz Saxophone,Lockwood Thomas E.,2,0,10
16FA,Jazz Saxophone,Lockwood Thomas E.,3,1,5
16FA,Bassoon,Beaulieu Genevieve L.,2,3,12
16FA,Bassoon,Beaulieu Genevieve L.,2,0,10
16FA,Bassoon,Beaulieu Genevieve L.,3,0,5
16FA,Horn,French Keith A.,2,2,12
16FA,Horn,French Keith A.,2,1,10
16FA,Horn,French Keith A.,3,0,5
16FA,Trumpet,Leach James D.,2,2,12
16FA,Trumpet,Leach James D.,2,1,10
16FA,Trumpet,Leach James D.,3,0,5
16FA,Jazz Trumpet,Coyle Brian R.,2,0,12
16FA,Jazz Trumpet,Coyle Brian R.,2,0,10
16FA,Jazz Trumpet,Coyle Brian R.,3,0,6
16FA,Trombone/Euphonium,Graham Adam E.,2,2,12
16FA,Trombone/Euphonium,Graham Adam E.,2,0,10
16FA,Trombone/Euphonium,Graham Adam E.,3,0,5
16FA,Jazz Trombone,Graham Adam E.,2,0,12
16FA,Jazz Trombone,Graham Adam E.,2,0,10
16FA,Jazz Trombone,Graham Adam E.,3,0,5
16FA,Tuba,Graham Adam E.,2,1,12
16FA,Tuba,Graham Adam E.,2,0,10
16FA,Tuba,Graham Adam E.,3,0,5
16FA,Percussion,Secor Gregory,2,1,12
16FA,Percussion,Secor Gregory,2,0,10
16FA,Percussion,Secor Gregory,3,0,5
16FA,Drumset,Hall Keith A.,2,4,20
16FA,Drumset,Hall Keith A.,2,1,10
16FA,Drumset,Hall Keith A.,3,0,5
16FA,Harp,Waldvogel-Warren Martha,2,1,12
16FA,Harp,Waldvogel-Warren Martha,2,0,10
16FA,Harp,Waldvogel-Warren Martha,3,0,5
16FA,Violin,Craioveanu Mihai D.,2,10,12
16FA,Violin,Craioveanu Mihai D.,2,2,10
16FA,Violin,Craioveanu Mihai D.,3,2,5
16FA,Viola,Corbato Barbara,2,1,12
16FA,Viola,Corbato Barbara,2,0,10
16FA,Viola,Corbato Barbara,3,0,5
16FA,Cello,Eppinga Alicia A.,2,3,12
16FA,Cello,Eppinga Alicia A.,2,1,10
16FA,Cello,Eppinga Alicia A.,3,0,5
16FA,String Bass,Straus Melissa M.,2,3,12
16FA,String Bass,Straus Melissa M.,2,1,10
16FA,String Bass,Straus Melissa M.,3,0,5
16FA,Contemporary and Jazz Bass,Hoats Charles D.,2,1,12
16FA,Contemporary and Jazz Bass,Hoats Charles D.,2,0,10
16FA,Contemporary and Jazz Bass,Hoats Charles D.,3,1,5
16FA,Organ,Lewis Huw R.,2,4,12
16FA,Organ,Lewis Huw R.,2,0,10
16FA,Organ,Lewis Huw R.,3,3,5
16FA,Jazz Organ,Monaco Anthony G.,2,2,12
16FA,Jazz Organ,Monaco Anthony G.,2,0,10
16FA,Jazz Organ,Monaco Anthony G.,3,0,5
16FA,Piano,Le Andrew C.,2,0,10
16FA,Piano,Le Andrew C.,2,0,10
16FA,Piano,Le Andrew C.,3,9,10
16FA,Piano,Staff,2,0,0
16FA,Piano,Staff,3,0,0
16FA,Piano,Kolean Lora L.,2,17,10
16FA,Piano,Kolean Lora L.,2,0,10
16FA,Piano,Kolean Lora L.,3,1,10
16FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,9,10
16FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,3,10
16FA,Contemporary and Jazz Piano,Talaga Stephen C.,3,0,10
16FA,Guitar,Martin David J.,2,27,25
16FA,Guitar,Martin David J.,2,0,5
16FA,Guitar,Martin David J.,3,1,5
16FA,Banjo,Roberts Nathaniel J.,2,1,15
16FA,Banjo,Roberts Nathaniel J.,2,0,15
16FA,Banjo,Roberts Nathaniel J.,3,2,15
16FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,13,30
16FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,0,15
16FA,Contemporary and Jazz Guitar,Hyde Michael R.,3,1,15
16FA,Mandolin,Roberts Nathaniel J.,2,8,15
16FA,Mandolin,Roberts Nathaniel J.,2,0,15
16FA,Mandolin,Roberts Nathaniel J.,3,1,5
16FA,Voice,Kim JungWoo,2,7,20
16FA,Voice,Kim JungWoo,2,6,10
16FA,Voice,Kim JungWoo,3,0,20
16FA,Voice,Dykstra Linda L.,2,9,20
16FA,Voice,Dykstra Linda L.,2,3,10
16FA,Voice,Dykstra Linda L.,3,7,20
16FA,Voice,Richmond Brad W.,2,3,20
16FA,Voice,Richmond Brad W.,2,0,10
16FA,Voice,Richmond Brad W.,3,0,10
16FA,Voice,Pilon Sherri L.,2,15,20
16FA,Voice,Pilon Sherri L.,2,0,10
16FA,Voice,Pilon Sherri L.,3,0,20
16FA,Contemporary and Jazz Voice,Hyde Edith E.,2,5,12
16FA,Contemporary and Jazz Voice,Hyde Edith E.,2,0,5
16FA,Contemporary and Jazz Voice,Hyde Edith E.,3,1,5
16FA,Classical Guitar Class Begin,Martin David J.,2,6,14
16FA,Folk Style Guitar Methods,Martin David J.,2,5,14
16FA,Applied Composition,Talaga Stephen C.,2,2,10
16FA,Applied Composition,Talaga Stephen C.,3,2,10
16FA,Songwriting Composition,Roberts Nathaniel J.,2,1,10
16FA,Songwriting Composition,Roberts Nathaniel J.,3,1,10
16FA,Applied Computer Music,Munch Jean-Yves,2,0,6
16FA,Applied Computer Music,Elliot Drew I.,3,6,6
16FA,Applied Computer Music,Elliot Drew I.,2,0,6
16FA,Piano Class Beginning,Kolean Lora L.,2,6,14
16FA,Piano Class Beginning,Kolean Lora L.,2,13,14
16FA,Piano Class Beginning,Kolean Lora L.,2,14,14
16FA,Piano Class Beginning,Kolean Lora L.,2,11,14
16FA,Voice Class Beginning,Pilon Sherri L.,2,10,12
16FA,Voice Class Intermediate,Staff,2,0,0
16FA,Keyboard Skills IA,Strouf Linda K.,1,6,14
16FA,Keyboard Skills IA,Strouf Linda K.,1,5,14
16FA,Eurhythmics I,Dittus Jeremy K.,.5,8,20
16FA,Theory III,Hodson Robert D.,4,9,15
16FA,Aural Skills III,Wolfe Jennifer A.,1,8,15
16FA,Wind Repertoire,Southard Robert G.,1,4,10
16FA,Keyboard Skills - Intermediate,Strouf Linda K.,1,9,14
16FA,Elementary Music Methods,Hornbach Christina M.,4,4,15
16FA,Hist & Literature of Symphony,Randel Julia,4,10,20
16FA,Organ Literature,Lewis Huw R.,2,0,10
16FA,Music in the Church,Lewis Huw R.,3,7,10
16FA,Piano Pedagogy I,Le Andrew C.,1,0,10
16FA,Woodwind Methods I,Bratton Suzanna E.,.5,5,10
16FA,Woodwind Methods II,Briggs John A.,.5,5,10
16FA,Instrum of Band & Orchestra I,Southard Sarah,.5,2,10
16FA,Instrum of Band & Orchestra II,Straus Melissa M.,.5,2,10
16FA,Woodwind Methods III,Southard Robert G.,.5,5,10
16FA,Woodwind Methods IV,Southard Sarah,.5,5,10
16FA,Conducting Techniques,Richmond Brad W.,2,7,15
16FA,Diction for Singers II,Dykstra Linda L.,1,4,10
16FA,Voice Pedagogy,Kim JungWoo,2,2,15
16FA,Theory and Improvisation I,Talaga Stephen C.,3,3,15
16FA,Composition and Arranging I,Talaga Stephen C.,3,0,15
16FA,Recording Arts & Techniques,Elliot Drew I.,2,6,10
16FA,Digital Audio Seminar,Elliot Drew I.,4,8,10
16FA,Keyboard Skills for Piano,Strouf Linda K.,1,1,14
16FA,Keyboard Skills for Organ,Lewis Huw R.,1,0,10
16FA,Independent Study,Munch Jean-Yves,4,2,5
16FA,Independent Study,Elliot Drew I.,4,0,5
16FA,Independent Study,Richmond Brad W.,4,1,5
16FA,Seminar in Music,Randel Julia,2,9,14
16FA,Jazz Styles & Analysis,Hodson Robert D.,2,0,10
19SP,Introduction to Music,Staff,4,0,0
19SP,Introduction to Music,Staff,4,0,0
19SP,Introduction to Music,Staff,4,0,0
19SP,World Music,Staff,4,0,0
19SP,Survey of American Music,Coyle Brian R.,4,35,35
19SP,Survey of American Music,Coyle Brian R.,4,35,35
19SP,Theory II,Staff,4,0,0
19SP,Theory II,Staff,4,0,0
19SP,Aural Skills II,Staff,1,0,0
19SP,Chapel Choir,Staff TBA,1,17,70
19SP,Chapel Choir,Staff TBA,0,8,70
19SP,Women's Chamber Choir,Staff,1,0,0
19SP,Women's Chamber Choir,Staff,0,0,0
19SP,Orchestra,Fashun Christopher H.,1,7,65
19SP,Orchestra,Fashun Christopher H.,0,15,100
19SP,Wind Ensemble,Southard Robert G.,1,7,60
19SP,Wind Ensemble,Southard Robert G.,0,10,50
19SP,Concert Band,Southard Robert G.,1,1,30
19SP,Concert Band,Southard Robert G.,0,3,30
19SP,Jazz Arts Collective,Coyle Brian R.,1,2,10
19SP,Jazz Arts Collective,Coyle Brian R.,0,2,10
19SP,Jazz Chamber Ensemble I,Coyle Brian R.,.5,1,4
