"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Voice","MUS","181","091","81440",2,FA2,"TBA","","","","","","","","TBA",10,3,7,0,"Sharp, Stuart W.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","10","81494",3,FA2,"TBA","","","","","","","","TBA",20,3,17,0,"Sharp, Stuart W.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","11","81499",2,FA2,"TBA","","","","","","","","TBA",20,4,16,0,"Cosgrove, Julia C.",08/31-12/10,16
"COMPLETED","Voice","MUS","181","111","81501",2,"","TBA","","","","","","","","TBA",10,0,10,0,"Cosgrove, Julia C.",08/31-12/10,16
"PERMISSION","Voice","MUS","181","12","81500",3,"","TBA","","","","","","","","TBA",20,0,20,0,"Cosgrove, Julia C.",08/31-12/10,16
"COMPLETED","Jazz Voice","MUS","182","01","81050",2,FA2,"TBA","","","","","","","","TBA",14,11,3,0,"Hyde, Edith E.",08/31-12/10,16
"COMPLETED","Classical Guitar Class, Beg","MUS","186","01","80095",2,FA2,"M"," ","W"," "," "," "," ","1600-1650","NYKERK 101",14,12,2,0,"Malfroid, Larry",08/31-12/10,16
"COMPLETED","Folk Style Guitar Methods","MUS","187","01","81164",2,FA2,"M"," ","W"," "," "," "," ","1700-1750","NYKERK 101",14,13,1,0,"Malfroid, Larry",08/31-12/10,16
"PERMISSION","Applied Composition","MUS","188","01","80096",2,FA2,"TBA","","","","","","","","TBA",6,3,3,0,"Talaga, Stephen C.",08/31-12/10,16
"PERMISSION","Applied Composition","MUS","188","02","80097",3,"","TBA","","","","","","","","TBA",6,1,5,0,"Talaga, Stephen C.",08/31-12/10,16
"PERMISSION","Applied Computer Music","MUS","189","01","80098",2,FA2,"TBA","","","","","","","","TBA",6,4,2,0,"Erskine, John K.",08/31-12/10,16
"PERMISSION","Applied Computer Music","MUS","189","02","80099",3,"","TBA","","","","","","","","TBA",6,4,2,0,"Erskine, John K.",08/31-12/10,16
"COMPLETED","Piano Class, Beginning","MUS","190","01","80100",2,FA2," ","T"," ","R"," "," "," ","0930-1020","NYKERK 102",14,10,4,0,"Kolean, Lora L.",08/31-12/10,16
"COMPLETED","Piano Class, Beginning","MUS","190","02","81051",2,FA2," ","T"," ","R"," "," "," ","1030-1120","NYKERK 102",14,11,3,0,"Kolean, Lora L.",08/31-12/10,16
"COMPLETED","Piano Class, Beginning","MUS","190","03","80101",2,FA2," ","T"," ","R"," "," "," ","1200-1250","NYKERK 102",14,13,1,0,"Kolean, Lora L.",08/31-12/10,16
"COMPLETED","Piano Class, Beginning","MUS","190","04","80434",2,FA2," ","T"," ","R"," "," "," ","1300-1350","NYKERK 102",14,13,1,0,"Kolean, Lora L.",08/31-12/10,16
"COMPLETED","Voice Class, Beginning","MUS","192","01","80102",2,FA2," ","T"," ","R"," "," "," ","0930-1020","NYKERK 100",12,9,3,0,"Pilon, Sherri L.",08/31-12/10,16
"PERMISSION","Small Group Voice","MUS","195","01","80103",2,FA2,"TBA","","","","","","","","TBA",4,3,1,0,"Pilon, Sherri L.",08/31-12/10,16
"CLOSED","Small Group Voice","MUS","195","02","81229",2,"","TBA","","","","","","","","TBA",4,4,0,0,"Pilon, Sherri L.",08/31-12/10,16
"CLOSED","Small Group Voice","MUS","195","03","81230",2,"","TBA","","","","","","","","TBA",4,4,0,0,"Pilon, Sherri L.",08/31-12/10,16
"CLOSED","Small Group Voice","MUS","195","04","81245",2,"","TBA","","","","","","","","TBA",4,4,0,0,"Pilon, Sherri L.",08/31-12/10,16
"COMPLETED","Keyboard Skills - Beginning","MUS","197","01","80104",1,"","M"," ","W"," ","F"," "," ","0830-0920","NYKERK 102",14,6,8,0,"Strouf, Linda K.",08/31-12/10,16
"COMPLETED","Keyboard Skills - Beginning","MUS","197","02","81228",1,"","M"," ","W"," ","F"," "," ","0930-1020","NYKERK 102",14,7,7,0,"Strouf, Linda K.",08/31-12/10,16
"CLOSED","Eurhythmics I","MUS","201","01","80105",.5,""," "," "," "," ","F"," "," ","1100-1150","NYKERK 116",18,18,0,0,"Aschbrenner, Charles",08/31-12/10,16
"COMPLETED","Eurhythmics I","MUS","201","02","81231",.5,""," "," "," "," ","F"," "," ","1200-1250","NYKERK 116",18,12,6,0,"Aschbrenner, Charles",08/31-12/10,16
"COMPLETED","Theory III","MUS","211","01","81340",4,"","M"," ","W"," ","F"," "," ","0830-0920","NYKERK 101",15,12,3,0,"Hodson, Robert D.",08/31-12/10,16
"COMPLETED","Theory III","MUS","211","02","80106",4,"","M"," ","W"," ","F"," "," ","0930-1020","NYKERK 101",15,9,6,0,"Hodson, Robert D.",08/31-12/10,16
"COMPLETED","Aural Skills III","MUS","213","01","80107",1,"","M"," ","W"," ","F"," "," ","0830-0920","NYKERK 116",15,9,6,0,"Wolfe, Jennifer A.",08/31-12/10,16
"COMPLETED","Aural Skills III","MUS","213","02","80970",1,"","M"," ","W"," ","F"," "," ","0930-1020","NYKERK 116",15,11,4,0,"Wolfe, Jennifer A.",08/31-12/10,16
"COMPLETED","Piano Accompanying","MUS","295","01","81341",1,"","TBA","","","","","","","","TBA",8,3,5,0,"Clark, Adam L.",08/31-12/10,16
"COMPLETED","Keyboard Skills - Intermediate","MUS","297","01","80108",1,"","M"," ","W"," "," "," "," ","1400-1450","NYKERK 102",14,10,4,0,"Clark, Adam L.",08/31-12/10,16
"COMPLETED","Elementary Music Methods","MUS","300","01","80109",4,""," ","T"," ","R"," "," "," ","1330-1450","NYKERK 116",15,7,8,0,"Hornbach, Christina M.",08/31-12/10,16
"COMPLETED","Hist & Literature of Symphony","MUS","324","01","81343",4,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 100",25,22,3,0,"Randel, Julia",08/31-12/10,16
"CLOSED","Music in the Church","MUS","328","01","81439",3,""," ","T"," ","R"," "," "," ","1400-1520","NYKERK 113",10,12,-2,0,"Lewis, Huw R.",08/31-12/10,16
"COMPLETED","Piano Pedagogy I","MUS","329","01","81329",1,"","TBA","","","","","","","","TBA",12,3,9,0,"Clark, Adam L.",08/31-12/10,16
"COMPLETED","Violin/Viola Pedagogy, Lit","MUS","335","01","81463",3,"","TBA","","","","","","","","TBA",5,2,3,0,"Corbato, Barbara",08/31-12/10,16
"COMPLETED","Woodwind Methods I","MUS","336","01","81345",1,""," ","T"," ","R"," "," "," ","0930-1020","NYKERK 116",10,6,4,0,"Schekman, Joel W.",08/31-12/10,16
"COMPLETED","Instrum of Band & Orchestra I","MUS","337","01","81344",1,""," ","T"," ","R"," "," "," ","1200-1250","NYKERK 101",12,8,4,0,"Southard, Robert G.",08/31-12/10,16
"COMPLETED","Orchestration","MUS","341","01","80110",3,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 100",15,5,10,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","Conducting Techniques","MUS","345","01","80653",2,"","M"," ","W"," "," "," "," ","1300-1350","NYKERK 116",15,11,4,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","German Diction","MUS","348","01","81346",1,""," ","T"," ","R"," "," "," ","1300-1350","NYKERK 101",10,7,3,0,"Dykstra, Linda L.",08/31-12/10,16
"COMPLETED","Voice Literature","MUS","351","01","81328",2,""," ","T"," ","R"," "," "," ","1500-1550","NYKERK 101",12,3,9,0,"Kim, JungWoo",08/31-12/10,16
"COMPLETED","Jazz Theory & Improvisation I","MUS","361","01","80111",3,""," ","T"," ","R"," "," "," ","1630-1750","NYKERK 121",10,2,8,0,"Talaga, Stephen C.",08/31-12/10,16
"COMPLETED","Jazz Composition & Arranging I","MUS","366","01","80572",3,"","TBA","","","","","","","","TBA",10,1,9,0,"Talaga, Stephen C.",08/31-12/10,16
"COMPLETED","Recording Arts & Techniques","MUS","368","01","80439",2,""," ","T"," "," "," "," "," ","1830-2020","NYKERK 100",10,5,5,0,"Erskine, John K.",08/31-12/10,16
"COMPLETED","Studies in Music Theory","MUS","393","01A","81392",2,"","M"," ","W"," ","F"," "," ","1400-1450","NYKERK 101",12,5,7,0,"Hodson, Robert D.",08/31-10/20,8
"COMPLETED","Keyboard Skills for Organ","MUS","397","01","80769",1,"","TBA","","","","","","","","TBA",10,3,7,0,"Lewis, Huw R.",08/31-12/10,16
"PERMISSION","Keyboard Skills for Piano I","MUS","397","02","80770",1,"","M"," ","W"," "," "," "," ","1300-1350","NYKERK 102",10,2,8,0,"Le, Andrew C.",08/31-12/10,16
"CLOSED","Ind Stdy: Advanced Conducting","MUS","490","01","81012",1,"","TBA","","","","","","","","TBA",1,1,0,0,"Richmond, Brad W.",08/31-12/10,16
"PERMISSION","Internship in Music","MUS","490","02","81022","  1-4","","TBA","","","","","","","","TBA",10,1,9,0,"Erskine, John K.",08/31-12/10,16
"COMPLETED","Seminar in Music","MUS","491","01","80112",2,""," ","T"," "," "," "," "," ","0830-1020","NYKERK 124",14,12,2,0,"Randel, Julia",08/31-12/10,16
"COMPLETED","Seminar in Music","MUS","491","02","80755",2,""," "," ","W"," "," "," "," ","0830-1020","NYKERK 124",14,4,10,0,"Randel, Julia",08/31-12/10,16
"PERMISSION","Advanced Conducting","MUS","495","01","81225",2,"","TBA","","","","","","","","TBA",10,1,9,0,"Southard, Robert G.",08/31-12/10,16
