"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Jazz Arts Collective","MUS","135","11","80801",0,""," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",20,9,11,0,"Coyle, Brian R.",08/31-12/10,16
"COMPLETED","Collegium Musicum - Vocal","MUS","140","01","80795",1,FA2," "," ","W"," "," "," "," ","1900-2030","NYKERK 116",24,9,15,0,"DeBoer, James R.",08/31-12/10,16
"COMPLETED","Collegium Musicum - Vocal","MUS","140","11","80802",0,""," "," ","W"," "," "," "," ","1900-2030","NYKERK 116",24,20,4,0,"DeBoer, James R.",08/31-12/10,16
"COMPLETED","Opera Workshop","MUS","155","01","81332",1,FA2,"TBA","","","","","","","","TBA",15,1,14,0,"Dykstra, Linda L.",08/31-12/10,16
"COMPLETED","Opera Workshop","MUS","155","11","81333",0,FA2,"TBA","","","","","","","","TBA",15,0,15,0,"Dykstra, Linda L.",08/31-12/10,16
"CLOSED","Jazz Chamber Ensemble I","MUS","160","01","81024",.5,FA2,"TBA","","","","","","","","TBA",4,4,0,0,"Coyle, Brian R.",08/31-12/10,16
"CLOSED","Jazz Chamber Ensemble I","MUS","160","011","81025",0,"","TBA","","","","","","","","TBA",4,5,-1,0,"Coyle, Brian R.",08/31-12/10,16
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","02","81026",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Hodson, Robert D.",08/31-12/10,16
"CLOSED","Jazz Chamber Ensemble II","MUS","160","021","81027",0,"","TBA","","","","","","","","TBA",4,4,0,0,"Hodson, Robert D.",08/31-12/10,16
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","03","81028",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Talaga, Stephen C.",08/31-12/10,16
