"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Spring 2011"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"SPRING 2011 (201101)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Concert Attendance","MUS","080","01","10712",0,""," "," "," ","R"," "," "," ","1100-1150","NYKERK 124",150,78,72,0,"Waterstone, Kathy A.",01/11-04/29,16
"COMPLETED","Introduction to Music","MUS","101","01","10891",4,FA1," ","T"," ","R"," "," "," ","1200-1320","NYKERK 124",35,33,2,0,"Southard, Sarah",01/11-04/29,16
"COMPLETED","Perspectives in Music","MUS","102","01","10031",2,""," ","T"," ","R"," "," "," ","1400-1450","NYKERK 101",25,15,10,0,"Hornbach, Christina M.",01/11-04/29,16
"COMPLETED","Perspectives in Music","MUS","102","02","11159",2,""," ","T"," ","R"," "," "," ","0830-0920","NYKERK 100",25,15,10,0,"Hornbach, Christina M.",01/11-04/29,16
"CLOSED","World Music","MUS","104","01","10709",4,FA1,"M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100",35,38,-3,0,"Randel, Julia",01/11-04/29,16
"","","","","","",,"CD4","M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100","","","","","",""
"CLOSED","World Music","MUS","104","02","11160",4,CD4,"M"," ","W"," ","F"," "," ","1400-1450","NYKERK 100",35,38,-3,0,"Randel, Julia",01/11-04/29,16
"","","","","","",,"FA1","M"," ","W"," ","F"," "," ","1400-1450","NYKERK 100","","","","","",""
"COMPLETED","World Music","MUS","104","03","11450",4,CD4,"M"," "," "," "," "," "," ","1800-2100","NYKERK 100",35,32,3,0,"Straus, Melissa M.",01/11-04/29,16
"","","","","","",,"FA1","M"," "," "," "," "," "," ","1800-2100","NYKERK 100","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","01","10839",4,CD4," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124",35,40,-5,0,"Talaga, Stephen C.",01/11-04/29,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","02","10721",4,FA1," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124",35,38,-3,0,"Talaga, Stephen C.",01/11-04/29,16
"","","","","","",,"CD4"," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124","","","","","",""
